president,nth_day_in_office,delta
TRUMP 1,1,0
TRUMP 1,2,0
TRUMP 1,3,0
TRUMP 1,4,-0.13819364763142383
TRUMP 1,5,0.4310229608241123
TRUMP 1,6,1.2168101980859491
TRUMP 1,7,1.380221664628234
TRUMP 1,8,1.344261054861362
TRUMP 1,9,1.344261054861362
TRUMP 1,10,1.344261054861362
TRUMP 1,11,0.7256679569784152
TRUMP 1,12,0.18580488973509723
TRUMP 1,13,0.3212245772862943
TRUMP 1,14,0.29081188767983157
TRUMP 1,15,1.2316887112433506
TRUMP 1,16,1.2316887112433506
TRUMP 1,17,1.2316887112433506
TRUMP 1,18,1.1356592568308788
TRUMP 1,19,1.326659017261611
TRUMP 1,20,1.145342899292645
TRUMP 1,21,1.740786039415454
TRUMP 1,22,2.2298604193723204
TRUMP 1,23,2.2298604193723204
TRUMP 1,24,2.2298604193723204
TRUMP 1,25,2.9500308918281704
TRUMP 1,26,3.4152996507332167
TRUMP 1,27,3.9572305791272244
TRUMP 1,28,3.9971251686441667
TRUMP 1,29,4.018711621631832
TRUMP 1,30,4.018711621631832
TRUMP 1,31,4.018711621631832
TRUMP 1,32,4.018711621631832
TRUMP 1,33,4.618643533520794
TRUMP 1,34,4.783063712819469
TRUMP 1,35,4.9581762473363655
TRUMP 1,36,5.015874617004368
TRUMP 1,37,5.015874617004368
TRUMP 1,38,5.015874617004368
TRUMP 1,39,5.094957697108771
TRUMP 1,40,4.967859889798132
TRUMP 1,41,6.497623220567639
TRUMP 1,42,5.929818809971121
TRUMP 1,43,5.943638174734267
TRUMP 1,44,5.943638174734267
TRUMP 1,45,5.943638174734267
TRUMP 1,46,5.684550303244262
TRUMP 1,47,5.535361686567719
TRUMP 1,48,5.187204478684637
TRUMP 1,49,5.199611645588775
TRUMP 1,50,5.425512867392102
TRUMP 1,51,5.425512867392102
TRUMP 1,52,5.425512867392102
TRUMP 1,53,5.3170762460754695
TRUMP 1,54,5.094604647644019
TRUMP 1,55,5.663165592807862
TRUMP 1,56,5.584738175995163
TRUMP 1,57,5.484219949816538
TRUMP 1,58,5.484219949816538
TRUMP 1,59,5.484219949816538
TRUMP 1,60,5.440038331084751
BIDEN,1,0
BIDEN,2,-0.03966220752730232
BIDEN,3,-0.6136900986841942
BIDEN,4,-0.6136900986841942
BIDEN,5,-0.6136900986841942
BIDEN,6,-0.732259899359955
BIDEN,7,-0.8058770606232168
BIDEN,8,-2.8382686115790645
BIDEN,9,-1.8757627039301172
BIDEN,10,-3.8660552423691152
BIDEN,11,-3.8660552423691152
BIDEN,12,-3.8660552423691152
BIDEN,13,-3.1308775896664143
BIDEN,14,-1.6060468674551243
BIDEN,15,-1.490234504004384
BIDEN,16,-0.4249018384411163
BIDEN,17,-0.12870177931652016
BIDEN,18,-0.12870177931652016
BIDEN,19,-0.12870177931652016
BIDEN,20,0.632863906365122
BIDEN,21,0.6010251253832477
BIDEN,22,0.7997209217022405
BIDEN,23,0.7769560329840886
BIDEN,24,0.8657711622084951
BIDEN,25,0.8657711622084951
BIDEN,26,0.8657711622084951
BIDEN,27,0.8657711622084951
BIDEN,28,1.0720980057316254
BIDEN,29,1.3615327246878417
BIDEN,30,0.9778000652807206
BIDEN,31,0.9809422611883001
BIDEN,32,0.9809422611883001
BIDEN,33,0.9809422611883001
BIDEN,34,1.0686993040356585
BIDEN,35,1.118910312109822
BIDEN,36,2.480026214891562
BIDEN,37,0.6849666446285374
BIDEN,38,-0.8208505860195392
BIDEN,39,-0.8208505860195392
BIDEN,40,-0.8208505860195392
BIDEN,41,1.113010678977222
BIDEN,42,0.6513323231280399
BIDEN,43,0.2619885996002269
BIDEN,44,-0.8472386189984915
BIDEN,45,0.9872907794505448
BIDEN,46,0.9872907794505448
BIDEN,47,0.9872907794505448
BIDEN,48,1.9688743051097912
BIDEN,49,2.066025872456345
BIDEN,50,3.5546572152833855
BIDEN,51,4.159273421703857
BIDEN,52,5.098886187740437
BIDEN,53,5.098886187740437
BIDEN,54,5.098886187740437
BIDEN,55,5.659415461784167
BIDEN,56,5.2505772983399535
BIDEN,57,5.857918878761903
BIDEN,58,5.36712711593228
BIDEN,59,4.615789598562037
BIDEN,60,4.615789598562037
TRUMP 2,1,0
TRUMP 2,2,1.2370817306818882
TRUMP 2,3,1.5381314726441886
TRUMP 2,4,2.4771068135613916
TRUMP 2,5,2.153292081945679
TRUMP 2,6,2.153292081945679
TRUMP 2,7,2.153292081945679
TRUMP 2,8,2.8186046533018594
TRUMP 2,9,3.1331064346048043
TRUMP 2,10,2.8184666836675865
TRUMP 2,11,3.2061843508861987
TRUMP 2,12,2.430174142972885
TRUMP 2,13,2.430174142972885
TRUMP 2,14,2.430174142972885
TRUMP 2,15,2.1479112662094346
TRUMP 2,16,2.4563423836047926
TRUMP 2,17,3.1858338298323963
TRUMP 2,18,2.8969024207462057
TRUMP 2,19,1.8753982436005678
TRUMP 2,20,1.8753982436005678
TRUMP 2,21,1.8753982436005678
TRUMP 2,22,2.2594367205721833
TRUMP 2,23,2.54282634934877
TRUMP 2,24,2.0252332664103756
TRUMP 2,25,2.813660741407431
TRUMP 2,26,2.4334394243171076
TRUMP 2,27,2.4334394243171076
TRUMP 2,28,2.4334394243171076
TRUMP 2,29,2.4334394243171076
TRUMP 2,30,2.4570322317760906
TRUMP 2,31,2.6208711724636347
TRUMP 2,32,1.5839373912195587
TRUMP 2,33,-0.1375327304213747
TRUMP 2,34,-0.1375327304213747
TRUMP 2,35,-0.1375327304213747
TRUMP 2,36,-0.06121252773477748
TRUMP 2,37,0.3065915222718596
TRUMP 2,38,-0.12580531150898633
TRUMP 2,39,-0.5710333212763263
TRUMP 2,40,0.8119053077608296
TRUMP 2,41,0.8119053077608296
TRUMP 2,42,0.8119053077608296
TRUMP 2,43,-0.6820068971020277
TRUMP 2,44,-2.223242686517135
TRUMP 2,45,-1.1066084465470083
TRUMP 2,46,-2.089665085611303
TRUMP 2,47,-1.5777057627386792
TRUMP 2,48,-1.5777057627386792
TRUMP 2,49,-1.5777057627386792
TRUMP 2,50,-3.6242783325817873
TRUMP 2,51,-4.723965302476573
TRUMP 2,52,-4.723965302476573
